,datetime,pnl_sum,return
299,2025-05-26 11:20:00,9599.861836416603,0.0009599861836416603
300,2025-05-26 11:25:00,16099.67240830203,0.0016099672408302031
301,2025-05-26 11:30:00,10399.96322280404,0.0010399963222804038
302,2025-05-26 12:30:00,21049.03581356521,0.002104903581356521
303,2025-05-26 12:35:00,13749.6971356446,0.0013749697135644599
304,2025-05-26 12:40:00,17449.634524783527,0.0017449634524783527
305,2025-05-26 12:45:00,12199.915199398492,0.0012199915199398493
306,2025-05-26 12:50:00,18649.839055894758,0.0018649839055894758
307,2025-05-26 12:55:00,12399.893178994564,0.0012399893178994563
308,2025-05-26 13:00:00,17999.904129956816,0.0017999904129956817
309,2025-05-26 13:05:00,12249.862309891132,0.0012249862309891132
310,2025-05-26 13:10:00,19549.817086610026,0.0019549817086610024
311,2025-05-26 13:15:00,12299.97175450797,0.001229997175450797
312,2025-05-26 13:20:00,21249.667742161208,0.0021249667742161207
313,2025-05-26 13:25:00,11199.921144924592,0.0011199921144924591
314,2025-05-26 13:30:00,20049.852779820274,0.0020049852779820275
315,2025-05-26 13:35:00,11550.0,0.001155
316,2025-05-26 13:40:00,19599.943842497916,0.0019599943842497918
317,2025-05-26 13:45:00,11999.905059508492,0.001199990505950849
318,2025-05-26 13:50:00,16099.854297119013,0.0016099854297119012
319,2025-05-26 13:55:00,12249.952199861535,0.0012249952199861534
320,2025-05-26 14:00:00,18049.736290116958,0.001804973629011696
321,2025-05-26 14:05:00,12049.951166501978,0.001204995116650198
322,2025-05-26 14:10:00,15749.823016490825,0.0015749823016490826
323,2025-05-26 14:15:00,8549.808989780291,0.0008549808989780291
324,2025-05-26 14:20:00,14149.757476516783,0.0014149757476516784
325,2025-05-26 14:25:00,9699.913636964518,0.0009699913636964519
326,2025-05-26 14:30:00,13899.789900079637,0.0013899789900079637
327,2025-05-26 14:35:00,8999.977562390819,0.0008999977562390819
328,2025-05-26 14:40:00,13449.926704733445,0.0013449926704733445
329,2025-05-26 14:45:00,9250.0,0.000925
330,2025-05-26 14:50:00,13799.817748960886,0.0013799817748960887
331,2025-05-26 14:55:00,9049.981049458347,0.0009049981049458347
